valore,anno,mese
5.1032557,1939,3
11.087442,1939,4
11.803255,1939,5
17.636745,1939,6
21.133488,1939,7
20.982327,1939,8
17.274418,1939,9
13.399534,1939,10
9.555349,1939,11
5.255349,1939,12
2.0130231,1940,1
4.2334886,1940,2
6.8725576,1940,3
10.024652,1940,4
13.728838,1940,5
16.772093,1940,6
19.387907,1940,7
19.133022,1940,8
17.805117,1940,9
13.689768,1940,10
9.609767,1940,11
2.0976744,1940,12
3.5981395,1941,1
5.415814,1941,2
7.757674,1941,3
9.438139,1941,4
12.333488,1941,5
18.486511,1941,6
21.467907,1941,7
20.54279,1941,8
16.40279,1941,9
12.58279,1941,10
7.708837,1941,11
4.1576743,1941,12
0.54976743,1942,1
2.8260465,1942,2
7.964186,1942,3
10.727442,1942,4
15.174884,1942,5
19.116743,1942,6
21.28651,1942,7
20.96186,1942,8
19.967907,1942,9
15.413488,1942,10
8.286512,1942,11
6.678605,1942,12
3.1106977,1943,1
6.112558,1943,2
8.2362795,1943,3
11.7190695,1943,4
15.078604,1943,5
18.297674,1943,6
21.526512,1943,7
22.71814,1943,8
20.143255,1943,9
15.22186,1943,10
8.434884,1943,11
6.8069773,1943,12
4.1246514,1944,1
3.3186047,1944,2
5.015349,1944,3
11.40093,1944,4
15.02186,1944,5
18.611164,1944,6
20.85721,1944,7
22.703722,1944,8
18.352558,1944,9
13,1944,10
8.131628,1944,11
4.592093,1944,12
0.927907,1945,1
4.773023,1945,2
7.885581,1945,3
12.018604,1945,4
16.78186,1945,5
20.909302,1945,6
23.207907,1945,7
21.496279,1945,8
18.466976,1945,9
12.887442,1945,10
8.123256,1945,11
5.5186048,1945,12
3.543721,1946,1
5.3655815,1946,2
7.213488,1946,3
11.791628,1946,4
14.22186,1946,5
18.514418,1946,6
21.959536,1946,7
22.052094,1946,8
19.833954,1946,9
13.037674,1946,10
9.10093,1946,11
3.7311625,1946,12
1.2786047,1947,1
4.6837206,1947,2
8.719535,1947,3
11.948372,1947,4
15.640465,1947,5
19.943256,1947,6
22.62186,1947,7
22.50558,1947,8
19.371628,1947,9
13.579535,1947,10
9.874884,1947,11
4.713023,1947,12
5.9748836,1948,1
4.6376743,1948,2
8.730232,1948,3
11.128838,1948,4
15.258604,1948,5
17.886976,1948,6
19.029303,1948,7
20.92186,1948,8
17.867443,1948,9
14.575813,1948,10
9.059535,1948,11
4.892558,1948,12
5.2776747,1949,1
4.9376745,1949,2
5.2748837,1949,3
12.14186,1949,4
14.287442,1949,5
18.109303,1949,6
21.048372,1949,7
20.721859,1949,8
19.447906,1949,9
14.685582,1949,10
8.873023,1949,11
6.158139,1949,12
3.5548835,1950,1
6.0865116,1950,2
8.319535,1950,3
10.076744,1950,4
15.835348,1950,5
20.422325,1950,6
22.94093,1950,7
21.944187,1950,8
18.310698,1950,9
13.638605,1950,10
8.814419,1950,11
5.357209,1950,12
5.6232557,1951,1
6.455349,1951,2
7.0413957,1951,3
10.237675,1951,4
13.821859,1951,5
18.58279,1951,6
20.670233,1951,7
21.180466,1951,8
18.958605,1951,9
12.442326,1951,10
10.1790695,1951,11
5.380465,1951,12
3.556744,1952,1
3.5288372,1952,2
7.1306977,1952,3
12.02186,1952,4
14.679535,1952,5
20.13535,1952,6
23.018139,1952,7
22.337208,1952,8
17.499535,1952,9
13.266512,1952,10
7.862325,1952,11
5.575349,1952,12
2.4567442,1953,1
3.7139535,1953,2
6.6967444,1953,3
11.276744,1953,4
15.012093,1953,5
17.213024,1953,6
20.873953,1953,7
20.358604,1953,8
18.611628,1953,9
14.889768,1953,10
8.46372,1953,11
7.359535,1953,12
2.1725583,1954,1
3.5130234,1954,2
8.283721,1954,3
9.538605,1954,4
13.347906,1954,5
19.10279,1954,6
19.439535,1954,7
19.587442,1954,8
18.615814,1954,9
12.764186,1954,10
8.896745,1954,11
6.3934884,1954,12
6.866046,1955,1
6.360465,1955,2
6.5623255,1955,3
9.825582,1955,4
14.519534,1955,5
18.28372,1955,6
21.047441,1955,7
20.00186,1955,8
17.326046,1955,9
12.932093,1955,10
8.233488,1955,11
7.161395,1955,12
5.517209,1956,1
0.80325586,1956,2
5.9581394,1956,3
9.367907,1956,4
14.645581,1956,5
16.733023,1956,6
20.796278,1956,7
21.643255,1956,8
18.960464,1956,9
12.527442,1956,10
7.7879066,1956,11
4.615349,1956,12
3.9209301,1957,1
6.907907,1957,2
8.298605,1957,3
10.480465,1957,4
12.953954,1957,5
18.990232,1957,6
20.81535,1957,7
20.715815,1957,8
17.311626,1957,9
14.067907,1957,10
9.524186,1957,11
5.3813953,1957,12
4.304186,1958,1
6.375814,1958,2
5.614419,1958,3
8.52093,1958,4
16.032093,1958,5
17.895815,1958,6
20.89721,1958,7
21.782791,1958,8
18.570232,1958,9
13.858139,1958,10
10.12279,1958,11
6.857209,1958,12
4.1804647,1959,1
5.7860465,1959,2
9.187442,1959,3
10.530232,1959,4
14.180929,1959,5
18.017208,1959,6
21.60465,1959,7
20.514418,1959,8
17.61907,1959,9
12.4079075,1959,10
8.968372,1959,11
6.8646517,1959,12
4.431163,1960,1
5.7786045,1960,2
8.028837,1960,3
10.34,1960,4
14.846046,1960,5
18.879536,1960,6
19.586046,1960,7
20.589767,1960,8
16.790234,1960,9
13.742325,1960,10
10.071628,1960,11
6.3753486,1960,12
4.415814,1961,1
6.2218604,1961,2
8.243256,1961,3
12.426977,1961,4
14.192558,1961,5
18.568836,1961,6
20.202791,1961,7
20.626513,1961,8
19.365582,1961,9
14.268372,1961,10
9.798605,1961,11
5.6744184,1961,12
5.5302324,1962,1
4.2632556,1962,2
5.8934884,1962,3
10.361395,1962,4
13.796743,1962,5
17.344187,1962,6
20.363255,1962,7
21.917675,1962,8
18.444187,1962,9
14.195814,1962,10
8.6493025,1962,11
3.6786046,1962,12
2.2176745,1963,1
3.0618606,1963,2
6.2544184,1963,3
10.7088375,1963,4
14.022791,1963,5
17.982327,1963,6
21.619534,1963,7
20.63628,1963,8
17.959536,1963,9
12.928372,1963,10
11.366511,1963,11
5.658139,1963,12
2.956279,1964,1
5.216279,1964,2
