valore,anno,mese
54.785583,1942,7
37.67907,1942,8
59.437675,1942,9
51.560467,1942,10
83.99489,1942,11
116.81256,1942,12
58.936745,1943,1
76.25442,1943,2
68.45163,1943,3
46.21349,1943,4
74.58093,1943,5
51.47721,1943,6
46.683254,1943,7
31.827442,1943,8
64.26047,1943,9
84.68233,1943,10
141.3507,1943,11
134.60698,1943,12
26.26744,1944,1
81.48232,1944,2
61.18279,1944,3
48.487907,1944,4
43.120464,1944,5
71.97721,1944,6
62.432556,1944,7
43.814884,1944,8
74.97209,1944,9
148.88791,1944,10
76.93861,1944,11
71.05163,1944,12
88.95488,1945,1
30.931162,1945,2
50.71535,1945,3
36.21023,1945,4
37.35256,1945,5
24.013023,1945,6
30.466045,1945,7
56.26232,1945,8
62.342327,1945,9
52.23349,1945,10
118.22465,1945,11
109.11861,1945,12
88.145584,1946,1
31.018604,1946,2
80.64,1946,3
41.807907,1946,4
68.09442,1946,5
57.436745,1946,6
49.264652,1946,7
58.005116,1946,8
23.61628,1946,9
94.50093,1946,10
119.306984,1946,11
110.94884,1946,12
84.09442,1947,1
84.51674,1947,2
66.66232,1947,3
28.623255,1947,4
76.08559,1947,5
33.22837,1947,6
41.8507,1947,7
34.91907,1947,8
81.2693,1947,9
109.553024,1947,10
71.65256,1947,11
92.0721,1947,12
107.81116,1948,1
64.937675,1948,2
13.572093,1948,3
81.30977,1948,4
88.77675,1948,5
64.80651,1948,6
47.16279,1948,7
61.570232,1948,8
76.446045,1948,9
110.443726,1948,10
69.350235,1948,11
61.64977,1948,12
81.53442,1949,1
15.77907,1949,2
42.12279,1949,3
39.170235,1949,4
94.58744,1949,5
42.614883,1949,6
48.50651,1949,7
36.492558,1949,8
57.1014,1949,9
98.44139,1949,10
170.75627,1949,11
59.03535,1949,12
108.443726,1950,1
58.05302,1950,2
47.29023,1950,3
97.164185,1950,4
30.731161,1950,5
43.094418,1950,6
23.947441,1950,7
50.54558,1950,8
64.62047,1950,9
81.16465,1950,10
99.49907,1950,11
151.52605,1950,12
115.37117,1951,1
107.187904,1951,2
93.57349,1951,3
41.743256,1951,4
83.51628,1951,5
51.094883,1951,6
44.485115,1951,7
45.838604,1951,8
91.961395,1951,9
129.27396,1951,10
126.55581,1951,11
52.643257,1951,12
64.544655,1952,1
50.72186,1952,2
38.64,1952,3
